,State,P_ACT,S_ACT,Year,P_SAT,S_SAT
0,Alabama,1.0,0.5352941176470588,2017,0.05,0.6375
1,Alaska,0.65,0.5529411764705883,2017,0.38,0.5666666666666667
2,Arizona,0.62,0.5499999999999999,2017,0.3,0.5966666666666667
3,Arkansas,1.0,0.5411764705882353,2017,0.03,0.6733333333333333
4,California,0.31,0.6411764705882353,2017,0.53,0.5458333333333333
5,Colorado,1.0,0.5823529411764706,2017,0.11,0.6675
6,Connecticut,0.31,0.711764705882353,2017,1.0,0.5341666666666667
7,Delaware,0.18,0.6794117647058824,2017,1.0,0.49666666666666665
8,District Of Columbia,0.32,0.6823529411764706,2017,1.0,0.4583333333333333
9,Florida,0.73,0.5529411764705883,2017,0.83,0.5141666666666667
10,Georgia,0.55,0.6,2017,0.61,0.5416666666666666
11,Hawaii,0.9,0.5294117647058824,2017,0.55,0.5708333333333333
12,Idaho,0.38,0.6264705882352941,2017,0.93,0.5041666666666667
13,Illinois,0.93,0.6,2017,0.09,0.5958333333333333
14,Indiana,0.35,0.6352941176470589,2017,0.63,0.5616666666666666
15,Iowa,0.67,0.6147058823529411,2017,0.02,0.7291666666666666
16,Kansas,0.73,0.6088235294117647,2017,0.04,0.7166666666666667
17,Kentucky,1.0,0.5588235294117647,2017,0.04,0.7058333333333333
18,Louisiana,1.0,0.5441176470588235,2017,0.04,0.665
19,Maine,0.08,0.6852941176470588,2017,0.95,0.51
20,Maryland,0.28,0.6647058823529413,2017,0.69,0.55
21,Massachusetts,0.29,0.7176470588235294,2017,0.76,0.5891666666666666
22,Michigan,0.29,0.6794117647058824,2017,1.0,0.5041666666666667
23,Minnesota,1.0,0.6029411764705882,2017,0.03,0.7458333333333333
24,Mississippi,1.0,0.5176470588235295,2017,0.02,0.7016666666666667
25,Missouri,1.0,0.5705882352941176,2017,0.03,0.7258333333333333
26,Montana,1.0,0.5676470588235294,2017,0.1,0.6633333333333333
27,Nebraska,0.84,0.6,2017,0.03,0.7108333333333333
28,Nevada,1.0,0.49411764705882355,2017,0.26,0.5966666666666667
29,New Hampshire,0.18,0.7205882352941176,2017,0.96,0.5433333333333333
30,New Jersey,0.34,0.6735294117647058,2017,0.7,0.5466666666666666
31,New Mexico,0.66,0.5499999999999999,2017,0.11,0.615
32,New York,0.31,0.6823529411764706,2017,0.67,0.5433333333333333
33,North Carolina,1.0,0.5323529411764706,2017,0.49,0.5675
34,North Dakota,0.98,0.5676470588235294,2017,0.02,0.7133333333333334
35,Ohio,0.75,0.6176470588235294,2017,0.12,0.6241666666666666
36,Oklahoma,1.0,0.5411764705882353,2017,0.07,0.5391666666666667
37,Oregon,0.4,0.611764705882353,2017,0.43,0.59
38,Pennsylvania,0.23,0.6676470588235294,2017,0.65,0.5591666666666667
39,Rhode Island,0.21,0.6764705882352942,2017,0.71,0.5516666666666666
40,South Carolina,1.0,0.5205882352941176,2017,0.5,0.5533333333333333
41,South Dakota,0.8,0.611764705882353,2017,0.03,0.68
42,Tennessee,1.0,0.5529411764705883,2017,0.05,0.69
43,Texas,0.45,0.5794117647058823,2017,0.62,0.5166666666666667
44,Utah,1.0,0.5676470588235294,2017,0.03,0.6983333333333334
45,Vermont,0.29,0.6647058823529413,2017,0.6,0.595
46,Virginia,0.29,0.6705882352941177,2017,0.65,0.585
47,Washington,0.29,0.6147058823529411,2017,0.64,0.5625
48,West Virginia,0.69,0.5705882352941176,2017,0.14,0.5716666666666667
49,Wisconsin,1.0,0.5735294117647058,2017,0.03,0.7425
50,Wyoming,1.0,0.5647058823529412,2017,0.03,0.6916666666666667
51,Alabama,1.0,0.5323529411764706,2018,0.06,0.6383333333333333
52,Alaska,0.33,0.5823529411764706,2018,0.43,0.5883333333333334
53,Arizona,0.66,0.5352941176470588,2018,0.29,0.6241666666666666
54,Arkansas,1.0,0.5411764705882353,2018,0.05,0.6408333333333334
55,California,0.27,0.638235294117647,2018,0.6,0.5633333333333334
56,Colorado,0.3,0.6735294117647058,2018,1.0,0.5208333333333334
57,Connecticut,0.26,0.723529411764706,2018,1.0,0.5441666666666667
58,Delaware,0.17,0.6705882352941177,2018,1.0,0.49833333333333335
59,District Of Columbia,0.32,0.6647058823529413,2018,0.92,0.48083333333333333
60,Florida,0.66,0.5558823529411764,2018,0.56,0.5825
61,Georgia,0.53,0.6,2018,0.7,0.5533333333333333
62,Hawaii,0.89,0.526470588235294,2018,0.56,0.5083333333333333
63,Idaho,0.36,0.6264705882352941,2018,1.0,0.5008333333333334
64,Illinois,0.43,0.6735294117647058,2018,0.99,0.5158333333333334
65,Indiana,0.32,0.6323529411764706,2018,0.63,0.5616666666666666
66,Iowa,0.68,0.611764705882353,2018,0.03,0.7208333333333333
67,Kansas,0.71,0.6058823529411765,2018,0.04,0.7208333333333333
68,Kentucky,1.0,0.5647058823529412,2018,0.04,0.7066666666666667
69,Louisiana,1.0,0.5352941176470588,2018,0.04,0.675
70,Maine,0.07,0.6764705882352942,2018,0.99,0.5108333333333334
71,Maryland,0.31,0.6323529411764706,2018,0.76,0.5666666666666667
72,Massachusetts,0.25,0.7205882352941176,2018,0.8,0.6041666666666666
73,Michigan,0.22,0.6823529411764706,2018,1.0,0.5091666666666667
74,Minnesota,0.99,0.5970588235294118,2018,0.04,0.7483333333333333
75,Mississippi,1.0,0.5176470588235295,2018,0.03,0.6966666666666667
76,Missouri,1.0,0.5588235294117647,2018,0.04,0.7183333333333334
77,Montana,1.0,0.5588235294117647,2018,0.1,0.665
78,Nebraska,1.0,0.5617647058823529,2018,0.03,0.71
79,Nevada,1.0,0.49117647058823527,2018,0.23,0.6166666666666667
80,New Hampshire,0.16,0.7088235294117647,2018,0.96,0.5525
81,New Jersey,0.31,0.6676470588235294,2018,0.82,0.5783333333333334
82,New Mexico,0.67,0.5411764705882353,2018,0.16,0.5775
83,New York,0.27,0.6911764705882353,2018,0.79,0.5566666666666666
84,North Carolina,1.0,0.5323529411764706,2018,0.52,0.5816666666666667
85,North Dakota,0.98,0.5676470588235294,2018,0.02,0.7358333333333333
86,Ohio,1.0,0.5676470588235294,2018,0.18,0.5825
87,Oklahoma,1.0,0.538235294117647,2018,0.08,0.5516666666666666
88,Oregon,0.42,0.5970588235294118,2018,0.48,0.5975
89,Pennsylvania,0.2,0.6617647058823529,2018,0.7,0.5716666666666667
90,Rhode Island,0.15,0.6823529411764706,2018,0.97,0.515
91,South Carolina,1.0,0.5088235294117647,2018,0.55,0.5583333333333333
92,South Dakota,0.77,0.6147058823529411,2018,0.03,0.7
93,Tennessee,1.0,0.5470588235294118,2018,0.06,0.6925
94,Texas,0.45,0.5794117647058823,2018,0.66,0.5266666666666666
95,Utah,1.0,0.5705882352941176,2018,0.04,0.5083333333333333
96,Vermont,0.24,0.6794117647058824,2018,0.64,0.6
97,Virginia,0.24,0.6735294117647058,2018,0.68,0.5975
98,Washington,0.24,0.6235294117647059,2018,0.69,0.5675
99,West Virginia,0.65,0.5676470588235294,2018,0.28,0.49916666666666665
100,Wisconsin,1.0,0.5735294117647058,2018,0.03,0.745
101,Wyoming,1.0,0.5588235294117647,2018,0.03,0.7141666666666666
102,Alabama,1.0,0.526470588235294,2019,0.07,0.6191666666666666
103,Alaska,0.38,0.5617647058823529,2019,0.41,0.5808333333333333
104,Arizona,0.73,0.5294117647058824,2019,0.31,0.6116666666666667
105,Arkansas,1.0,0.538235294117647,2019,0.06,0.6175
106,California,0.23,0.6352941176470589,2019,0.63,0.5541666666666667
107,Colorado,0.27,0.6705882352941177,2019,1.0,0.52
108,Connecticut,0.22,0.7205882352941176,2019,1.0,0.5383333333333333
109,Delaware,0.13,0.6794117647058824,2019,1.0,0.4875
110,District Of Columbia,0.32,0.6617647058823529,2019,0.94,0.4791666666666667
111,Florida,0.54,0.5617647058823529,2019,1.0,0.49916666666666665
112,Georgia,0.49,0.6,2019,0.71,0.5483333333333333
113,Hawaii,0.8,0.5294117647058824,2019,0.54,0.5833333333333334
114,Idaho,0.31,0.6323529411764706,2019,1.0,0.49416666666666664
115,Illinois,0.35,0.6852941176470588,2019,1.0,0.5108333333333334
116,Indiana,0.29,0.6323529411764706,2019,0.66,0.5666666666666667
117,Iowa,0.66,0.6058823529411765,2019,0.03,0.7033333333333334
118,Kansas,0.72,0.5941176470588235,2019,0.04,0.7008333333333333
119,Kentucky,1.0,0.5529411764705883,2019,0.04,0.6933333333333334
120,Louisiana,1.0,0.5235294117647059,2019,0.05,0.6666666666666666
121,Maine,0.06,0.6852941176470588,2019,0.99,0.5108333333333334
122,Maryland,0.28,0.6264705882352941,2019,0.82,0.5483333333333333
123,Massachusetts,0.21,0.7205882352941176,2019,0.81,0.6
124,Michigan,0.19,0.6882352941176471,2019,1.0,0.5025
125,Minnesota,0.95,0.6,2019,0.04,0.7366666666666667
126,Mississippi,1.0,0.5117647058823529,2019,0.03,0.6975
127,Missouri,0.82,0.5823529411764706,2019,0.04,0.6966666666666667
128,Montana,1.0,0.5529411764705883,2019,0.09,0.6658333333333334
129,Nebraska,1.0,0.5588235294117647,2019,0.03,0.7166666666666667
130,Nevada,1.0,0.4970588235294117,2019,0.2,0.63
131,New Hampshire,0.14,0.7058823529411765,2019,0.95,0.5491666666666667
132,New Jersey,0.25,0.6823529411764706,2019,0.82,0.575
133,New Mexico,0.63,0.538235294117647,2019,0.18,0.5608333333333333
134,New York,0.22,0.6911764705882353,2019,0.79,0.5533333333333333
135,North Carolina,1.0,0.5294117647058824,2019,0.51,0.5833333333333334
136,North Dakota,0.96,0.5558823529411764,2019,0.02,0.7191666666666666
137,Ohio,1.0,0.5588235294117647,2019,0.19,0.5808333333333333
138,Oklahoma,1.0,0.526470588235294,2019,0.22,0.4691666666666667
139,Oregon,0.42,0.5911764705882353,2019,0.51,0.5933333333333334
140,Pennsylvania,0.17,0.6647058823529413,2019,0.7,0.5683333333333334
141,Rhode Island,0.12,0.6970588235294117,2019,1.0,0.49583333333333335
142,South Carolina,0.78,0.5235294117647059,2019,0.68,0.525
143,South Dakota,0.75,0.6058823529411765,2019,0.03,0.7233333333333334
144,Tennessee,1.0,0.5411764705882353,2019,0.07,0.6833333333333333
145,Texas,0.39,0.5735294117647058,2019,0.68,0.5183333333333333
146,Utah,1.0,0.5676470588235294,2019,0.04,0.6916666666666667
147,Vermont,0.2,0.6794117647058824,2019,0.66,0.5883333333333334
148,Virginia,0.21,0.6764705882352942,2019,0.68,0.5991666666666666
149,Washington,0.24,0.6205882352941177,2019,0.7,0.5616666666666666
150,West Virginia,0.49,0.5823529411764706,2019,0.99,0.4525
151,Wisconsin,1.0,0.5676470588235294,2019,0.03,0.7358333333333333
152,Wyoming,1.0,0.5529411764705883,2019,0.03,0.6983333333333334
153,Puerto Rico,,,2019,,0.4533333333333333
154,Virgin Islands,,,2019,,0.44583333333333336
